Месяц,Коррупция,Взятка,Подкуп,Злоупотребление полномочиями,Непотизм,Бездействие,Конфликт интересов,Теневая экономика,Финансовые махинации,Противодействие коррупции,Транспарентность,Подотчетность,Мониторинг,Антикоррупционная политика,приговор,дело,Прозрачность финансирования,Теневые сделки,Откаты,Хищение,Родственник,расследуется,расследование,Лоббизм,Незаконное,обогащение,Контроль расходов,Проверки деятельности,подозреваемый,подоздревается,Аудит,Закупка,Электронное правительство,Похищение,Отмывание,Задержание,Рейдерство,тенге,долларов,доллары,Превышение власти,Задержали,Антикор,Агенство,Уголовный кодекс,Получение,незаконного,вознагражденияКонцепция,Преступление,средней тяжести,небольшой тяжести,Тяжкие,Особо тяжкие,Мошенничество,Легализация,миллиард,миллион,триллиард,Обогатился,Обогатились,судебный,процесс,аким,начальник,зам,заместитель,район,город,область,село,деревня,Аул,правонарушение,Антикора,Антикору,Антикором,Антикоре,Всего коррупционных преступлений
2019-08,32,7,0,0,0,0,0,0,0,0,0,0,1,0,10,22,0,0,0,4,0,0,6,0,0,0,0,0,0,0,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,2,0,3,23,0,0,0,1,3,10,0,0,5,6,10,23,1,0,0,1,0,0,0,0,2300
2019-09,27,52,0,0,0,0,0,0,0,0,0,0,0,0,5,24,0,0,0,10,1,0,33,0,0,0,0,0,0,0,0,3,0,0,1,7,0,0,0,0,0,0,0,0,0,51,0,0,5,0,0,0,0,10,0,3,22,0,0,0,2,4,17,15,0,23,27,17,33,5,0,0,0,0,0,0,0,2553
2019-10,58,98,0,0,0,0,0,0,0,0,0,0,1,0,26,89,0,0,0,17,0,0,55,0,0,0,0,0,0,0,1,5,0,0,0,12,0,0,0,0,0,0,0,0,0,68,0,0,35,0,0,0,0,3,1,8,53,0,0,0,12,6,8,38,1,23,26,11,92,2,0,0,13,0,0,0,0,2663
2019-11,42,36,1,0,0,2,0,0,0,0,0,0,0,0,17,40,0,0,0,9,2,0,26,0,0,0,0,0,0,0,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,27,0,0,21,0,0,0,0,3,1,2,34,0,0,0,4,2,14,6,1,11,14,10,38,0,0,1,2,0,0,0,0,2754
2019-12,37,27,0,0,0,1,0,0,0,0,1,0,3,0,10,61,0,0,0,16,2,0,38,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,21,0,0,19,0,0,0,0,5,0,12,36,0,0,0,4,3,30,8,0,29,15,20,36,2,0,0,6,0,0,0,0,2720
2020-01,40,39,0,0,0,0,0,0,0,0,0,0,1,0,4,27,0,0,0,20,0,0,28,0,0,0,0,0,0,0,0,1,0,0,2,8,0,0,0,0,0,0,0,0,0,33,0,0,16,0,0,0,0,2,0,13,32,0,0,0,6,3,24,6,1,20,20,5,28,0,1,0,2,0,0,0,0,1080
2020-02,81,51,0,0,0,0,0,0,0,0,0,0,4,0,15,46,0,0,0,11,1,0,25,0,0,0,0,0,0,0,4,2,0,0,2,9,0,0,0,0,0,0,0,0,0,31,0,0,27,0,0,0,0,3,2,9,53,0,0,0,6,6,12,16,0,19,4,9,59,4,0,0,4,0,0,0,0,1255
2020-03,20,22,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,4,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,14,0,0,2,0,0,0,0,2,0,5,19,0,0,0,0,2,13,0,0,6,2,1,22,0,0,0,3,0,0,0,0,1395
2020-05,34,28,0,0,0,0,0,0,0,0,1,0,0,0,10,43,0,0,0,26,0,0,43,0,0,0,0,0,0,0,2,3,0,0,0,11,0,0,0,0,0,0,0,0,0,24,0,0,8,0,0,0,0,4,1,6,28,0,0,0,2,0,8,13,0,12,15,4,43,3,0,0,4,0,0,0,0,1842
2020-06,45,39,1,0,0,1,0,0,0,0,0,0,4,0,7,64,0,0,0,29,1,0,52,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,21,0,0,16,0,0,0,0,0,1,7,47,0,0,0,6,1,18,1,0,21,17,9,58,0,0,0,4,0,0,0,0,2057
2020-08,93,31,0,0,0,4,0,0,0,0,0,0,10,0,15,70,0,0,0,23,4,0,23,0,0,0,0,0,0,0,0,17,0,0,2,13,0,0,0,0,0,0,0,0,0,24,0,0,31,0,0,0,0,6,2,11,37,0,0,0,7,4,54,14,0,33,12,18,62,0,0,0,16,0,0,0,0,2333
2020-09,51,25,0,0,0,0,0,0,0,0,0,0,5,0,7,33,0,0,0,9,2,0,29,0,0,2,0,0,0,0,0,3,0,0,0,16,0,0,0,0,0,0,4,0,0,24,0,0,10,0,0,0,0,4,0,9,37,0,0,0,4,4,17,12,0,21,1,14,33,0,0,0,0,5,0,0,0,2593
2020-10,26,21,0,0,0,0,0,0,0,0,0,0,4,0,3,19,0,0,0,7,3,0,19,0,0,0,0,0,0,0,1,4,0,0,0,5,0,0,0,0,0,0,0,0,0,16,0,0,16,0,0,0,0,1,2,2,11,0,0,0,1,8,6,0,0,6,3,4,22,1,0,0,1,0,0,0,0,2725
2020-11,15,5,0,0,0,0,0,0,0,0,0,0,3,0,2,15,0,0,0,4,1,0,7,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,1,1,0,5,0,0,0,3,0,2,0,0,3,2,5,5,0,0,1,2,0,0,0,0,2895
2020-12,17,10,2,0,0,0,0,0,0,0,0,0,0,0,9,18,0,0,0,6,1,0,3,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3,0,0,4,0,0,11,0,0,0,0,3,0,4,24,0,0,0,2,5,9,7,0,15,3,7,9,0,0,0,1,1,0,0,0,2674
2021-01,26,21,3,0,0,1,0,0,0,0,0,0,2,0,5,34,0,0,0,10,4,0,15,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,2,0,0,3,0,0,8,0,0,0,0,2,0,7,22,0,0,0,7,6,2,5,0,4,2,8,11,0,0,0,3,2,0,0,0,896
2021-02,28,22,0,0,0,0,0,0,0,0,0,0,2,0,8,26,0,0,0,9,0,0,10,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,0,0,0,2,0,0,12,0,0,12,0,0,0,0,2,0,1,12,0,0,0,1,3,11,8,0,14,7,4,26,0,0,0,3,1,0,0,0,1047
2021-03,15,13,0,0,0,0,0,0,0,0,0,0,2,0,10,28,0,0,0,10,4,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,0,6,0,0,0,0,1,1,3,28,0,0,0,2,2,0,1,0,3,6,2,10,0,0,0,4,0,0,0,0,1168
2021-04,37,5,0,0,0,0,0,0,0,0,0,0,2,0,4,12,0,0,0,4,1,0,8,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,18,0,0,0,0,0,0,5,8,0,0,0,1,5,3,0,0,14,1,0,6,0,0,0,2,3,0,0,0,1275
2021-05,18,4,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,10,0,0,0,2,4,3,0,0,0,0,2,8,0,0,0,2,0,0,0,0,1443
2021-06,16,7,0,0,0,0,0,0,0,0,0,0,2,0,1,6,0,0,0,2,1,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,0,0,1,0,1,3,0,0,0,0,2,4,0,0,7,0,2,6,0,0,0,0,1,0,0,0,1523
2021-07,14,8,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,4,1,0,12,0,0,1,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,0,0,8,0,0,4,0,0,0,0,0,0,2,3,0,0,0,0,1,2,1,0,6,0,1,12,0,0,0,2,0,0,0,0,1647
2021-08,4,12,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,0,0,7,0,0,1,0,0,0,0,0,0,0,6,0,0,0,2,0,7,0,0,7,5,1,9,0,0,0,1,1,0,0,0,1803
2021-09,14,13,0,0,0,0,0,0,0,0,0,0,6,0,2,6,0,0,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,2,3,3,7,0,0,0,2,2,0,0,0,1914
2021-10,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,0,0,0,4,1,0,4,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,4,0,0,0,0,2,0,2,1,0,0,0,0,0,1,0,0,2,0,0,6,0,0,0,2,3,0,0,0,1979
2021-11,15,2,0,0,0,1,0,0,0,0,0,0,5,0,2,9,0,0,0,11,1,0,7,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,12,0,0,8,0,0,0,0,1,1,4,3,0,0,0,1,4,10,0,0,1,4,3,16,0,0,0,0,2,0,0,0,2087
2021-12,14,14,1,0,0,0,0,0,0,0,0,0,6,0,5,14,0,0,0,8,0,0,8,0,0,2,0,0,0,0,1,0,0,0,2,9,0,0,0,0,0,0,0,0,0,12,0,0,10,0,0,0,0,0,0,0,15,0,0,0,4,3,31,1,0,27,4,8,31,0,0,0,2,2,0,0,0,2046
2022-01,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,3,1,0,0,1,0,2,0,0,0,0,0,0,0,0,853
2022-02,50,6,0,0,0,0,0,0,0,0,0,0,3,0,1,10,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,2,0,0,6,0,0,1,0,0,0,0,0,0,3,7,0,0,0,2,6,8,7,0,14,0,5,13,0,0,0,5,9,0,0,0,1069
2022-03,15,3,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,3,0,0,17,0,0,0,0,0,0,0,0,1,0,0,6,2,0,0,0,0,0,0,1,0,0,3,0,0,2,0,0,0,0,1,1,2,4,0,0,0,0,0,1,1,0,9,0,1,9,0,0,0,4,3,0,0,0,1308
2022-04,16,18,0,0,0,0,0,0,0,0,0,0,1,0,7,12,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,13,0,0,4,0,0,0,0,1,0,6,6,0,0,0,1,1,0,12,0,6,2,5,12,0,0,0,2,5,0,0,0,1527
2022-05,13,13,1,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,4,2,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,3,7,0,0,0,0,0,7,3,0,6,2,2,8,0,0,0,4,4,0,0,0,1665
2022-06,10,6,1,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,8,8,0,0,0,3,2,3,1,0,2,10,22,9,0,0,0,1,4,0,0,0,1828
2022-07,16,19,0,0,0,0,0,0,0,0,0,0,1,0,7,9,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,7,0,0,0,0,3,0,5,8,0,0,0,0,1,5,4,0,4,3,4,6,0,0,0,2,7,0,0,0,1920
2022-08,16,4,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,2,0,0,6,0,0,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,1,0,0,6,0,0,7,0,0,0,0,1,0,0,7,0,0,0,1,0,12,5,0,9,3,4,11,0,0,0,2,0,0,0,0,1973
2022-09,9,10,0,0,0,0,0,0,0,0,0,0,1,0,8,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,1,0,0,3,0,0,0,3,0,5,0,0,4,0,2,8,1,0,0,5,2,0,0,0,2045
2022-10,51,14,3,0,0,0,0,0,0,0,0,0,2,0,7,21,0,0,0,10,1,0,2,0,0,4,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,4,0,0,2,0,0,23,0,0,0,0,1,0,10,12,0,0,0,6,5,5,1,0,5,2,3,11,0,0,0,3,3,0,0,0,2084
2022-11,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,3,0,0,0,0,4,0,2,7,0,0,0,3,0,2,3,0,4,2,2,8,1,0,0,0,1,0,0,0,2180
2022-12,35,13,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0,2,0,11,0,0,2,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,9,0,0,5,0,0,0,0,2,0,4,11,0,0,0,3,1,0,1,0,4,0,1,2,0,0,0,4,7,0,0,0,2191
2023-01,11,14,1,0,0,0,0,0,0,0,0,0,1,0,7,8,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0,1,0,0,11,0,0,4,0,0,0,0,0,0,7,12,0,0,0,1,0,2,2,0,7,2,5,14,0,0,0,3,11,0,0,0,604
2023-02,6,12,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,12,0,0,7,0,0,0,0,3,0,0,5,0,0,0,1,2,5,1,0,5,3,1,19,1,0,0,0,4,0,0,0,708
2023-03,9,6,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,1,0,2,0,1,2,4,6,0,0,0,1,4,0,0,0,771
2023-04,18,24,0,0,1,1,0,0,0,0,0,0,1,0,8,22,0,0,0,16,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,10,0,0,4,0,0,0,0,2,0,17,10,0,0,0,2,2,6,9,0,7,6,5,6,0,0,0,4,5,0,0,0,859
2023-05,31,8,0,0,1,0,0,0,0,0,0,0,2,0,5,21,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,11,0,0,0,0,0,0,20,11,0,0,0,1,2,1,4,0,5,2,4,15,4,0,0,9,11,0,0,0,934
2023-06,5,17,0,0,0,0,0,0,0,0,0,0,1,0,10,13,0,0,0,9,2,0,9,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,0,0,9,0,0,6,0,0,0,0,0,0,6,8,0,0,0,1,2,0,2,0,10,1,2,10,0,0,0,5,8,0,0,0,1007
2023-07,12,7,0,0,0,0,0,0,0,0,0,0,1,0,4,16,0,0,0,10,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,0,0,0,0,4,17,0,0,0,1,3,1,5,0,6,7,7,20,0,0,0,4,8,0,0,0,1092
2023-08,8,17,0,0,0,2,0,0,0,0,0,0,3,0,12,12,0,0,0,4,1,0,3,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,2,0,0,12,0,0,2,0,0,0,0,1,0,7,13,0,0,0,2,0,23,3,0,7,5,11,23,2,0,1,9,4,0,0,0,1183
2023-09,33,15,0,0,0,0,0,0,0,0,0,0,2,0,11,15,0,0,0,10,1,0,9,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,0,0,7,0,0,7,0,0,0,0,3,0,1,16,0,0,0,3,1,9,10,0,13,3,7,21,3,0,0,8,5,0,0,0,1808
2023-10,13,22,0,0,0,0,0,0,0,0,0,0,0,0,9,37,0,0,0,5,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,10,0,0,3,0,0,0,0,0,0,7,20,0,0,0,6,6,7,1,0,12,0,3,7,4,0,0,11,10,0,0,0,1321
2023-11,17,27,0,0,0,0,0,0,0,0,0,0,2,0,20,54,0,0,0,5,1,0,25,0,0,1,0,0,0,0,0,8,0,0,2,10,0,0,0,0,0,0,2,0,0,20,0,0,11,0,0,0,0,5,1,11,44,0,0,0,24,6,30,0,0,36,2,9,22,1,0,0,15,11,0,0,0,1397
2023-12,13,28,0,0,0,0,0,0,0,0,0,0,0,0,16,22,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,2,0,0,13,0,0,6,0,0,0,0,1,0,4,17,0,0,0,4,4,10,4,0,2,5,8,20,1,0,0,6,12,0,0,0,1469
2024-01,21,39,0,0,0,1,0,0,0,0,0,0,1,0,14,51,0,0,0,19,8,0,19,0,0,0,0,0,0,0,1,2,0,0,1,12,0,0,0,0,0,0,3,0,0,13,0,0,7,0,0,0,0,11,1,8,37,0,0,0,27,9,16,4,0,17,15,12,31,1,0,0,7,10,0,0,0,509
2024-02,32,16,1,0,0,0,0,0,0,0,0,0,3,0,8,19,0,0,0,8,2,0,16,34,0,0,0,0,0,0,5,11,0,0,0,8,0,0,0,0,0,0,4,0,0,11,0,0,3,0,0,0,0,0,3,24,19,0,0,0,2,13,18,4,0,5,7,9,24,1,0,0,2,12,0,0,0,671
2024-03,4,10,0,0,0,0,0,0,0,0,0,0,1,0,6,16,0,0,0,2,1,0,9,0,0,1,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,4,13,0,0,0,3,2,2,4,0,2,1,2,6,0,0,0,2,8,0,0,0,754
