Дата,Коррупция,Взятка,приговор,дело,Хищение,расследование,Задержание,Получение,Преступление,миллиард,миллион,судебный,процесс,аким,начальник,заместитель,район,город,область,правонарушение,Всего коррупционных преступлений
2018-05-01,43.0,21.0,16.0,45,9.0,4.0,1.0,12,4.0,2.0,10.0,19.0,2.0,2.0,3.0,4.0,2.0,1.0,17.0,3.0,1909
2018-06-01,52.0,30.0,6.0,42,6.0,12.0,8.0,18,12.0,10.0,30.0,1.0,2.0,3.0,7.0,12.0,3.0,1.0,10.0,8.0,2161
2018-07-01,19.0,16.0,4.0,24,5.0,6.0,3.0,8,15.0,2.0,4.0,5.0,1.0,7.0,3.0,12.0,4.0,1.0,20.0,4.0,2285
2018-08-01,46.0,17.0,1.0,46,9.0,11.0,2.0,17,7.0,4.0,28.0,1.0,6.0,9.0,1.0,10.0,5.0,1.0,19.0,5.0,2415
2018-09-01,46.0,21.0,3.0,32,3.0,14.0,5.0,16,9.0,1.0,17.0,1.0,2.0,10.0,3.0,16.0,9.0,1.0,23.0,14.0,2626
2018-11-01,35.0,18.0,1.0,22,8.0,17.0,13.0,12,5.0,4.0,23.0,1.0,2.0,10.0,1.0,11.0,3.0,5.0,24.0,1.0,2886
2018-12-01,33.0,11.0,11.0,12,2.0,4.0,1.0,10,7.0,2.0,6.0,4.0,4.0,2.0,1.0,4.0,2.0,2.0,8.0,2.0,2841
2019-01-01,36.0,20.0,4.0,31,6.0,25.0,7.0,18,1.0,2.0,32.0,2.0,4.0,24.0,9.0,14.0,10.0,4.0,29.0,2.0,1029
2019-02-01,46.0,38.0,4.0,41,3.0,32.0,14.0,33,11.0,3.0,19.0,6.0,3.0,9.0,19.0,31.0,10.0,3.0,46.0,7.0,1256
2019-03-01,39.0,35.0,1.0,24,1.0,16.0,6.0,17,11.0,6.0,29.0,1.0,2.0,5.0,2.0,11.0,7.0,3.0,25.0,5.0,1583
2019-04-01,21.0,16.0,1.0,33,4.0,17.0,6.0,15,2.0,2.0,6.0,1.0,2.0,4.0,9.0,5.0,5.0,2.0,24.0,1.0,1793
2019-05-01,27.0,2.0,4.0,4,1.0,9.0,1.0,2,5.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,13.0,2.0,1946
2019-08-01,32.0,7.0,10.0,22,4.0,6.0,1.0,5,6.0,3.0,23.0,1.0,3.0,10.0,1.0,5.0,6.0,10.0,23.0,1.0,2300
2019-09-01,27.0,52.0,5.0,24,10.0,33.0,7.0,51,5.0,3.0,22.0,2.0,4.0,17.0,15.0,23.0,27.0,17.0,33.0,2.0,2553
2019-10-01,58.0,98.0,26.0,89,17.0,55.0,12.0,68,35.0,8.0,53.0,12.0,6.0,8.0,38.0,23.0,26.0,11.0,92.0,13.0,2663
2019-11-01,42.0,36.0,17.0,40,9.0,26.0,7.0,27,21.0,2.0,34.0,4.0,2.0,14.0,6.0,11.0,14.0,10.0,38.0,2.0,2754
2019-12-01,37.0,27.0,10.0,61,16.0,38.0,4.0,21,19.0,12.0,36.0,4.0,3.0,30.0,8.0,29.0,15.0,20.0,36.0,6.0,2720
2020-01-01,40.0,39.0,4.0,27,20.0,28.0,8.0,33,16.0,13.0,32.0,6.0,3.0,24.0,6.0,20.0,20.0,5.0,28.0,2.0,1080
2020-02-01,81.0,51.0,15.0,46,11.0,25.0,9.0,31,27.0,9.0,53.0,6.0,6.0,12.0,16.0,19.0,4.0,9.0,59.0,4.0,1255
2020-03-01,20.0,22.0,3.0,15,4.0,9.0,3.0,14,2.0,5.0,19.0,1.0,2.0,13.0,1.0,6.0,2.0,1.0,22.0,3.0,1395
2020-05-01,34.0,28.0,10.0,43,26.0,43.0,11.0,24,8.0,6.0,28.0,2.0,2.0,8.0,13.0,12.0,15.0,4.0,43.0,4.0,1842
2020-06-01,45.0,39.0,7.0,64,29.0,52.0,7.0,21,16.0,7.0,47.0,6.0,1.0,18.0,1.0,21.0,17.0,9.0,58.0,4.0,2057
2020-08-01,93.0,31.0,15.0,70,23.0,23.0,13.0,24,31.0,11.0,37.0,7.0,4.0,54.0,14.0,33.0,12.0,18.0,62.0,16.0,2333
2020-09-01,51.0,25.0,7.0,33,9.0,29.0,16.0,24,10.0,9.0,37.0,4.0,4.0,17.0,12.0,21.0,1.0,14.0,33.0,2.0,2593
2020-10-01,26.0,21.0,3.0,19,7.0,19.0,5.0,16,16.0,2.0,11.0,1.0,8.0,6.0,1.0,6.0,3.0,4.0,22.0,1.0,2725
2020-11-01,15.0,5.0,2.0,15,4.0,7.0,1.0,5,2.0,2.0,5.0,3.0,2.0,2.0,1.0,3.0,2.0,5.0,5.0,2.0,2895
2020-12-01,17.0,10.0,9.0,18,6.0,3.0,2.0,4,11.0,4.0,24.0,2.0,5.0,9.0,7.0,15.0,3.0,7.0,9.0,1.0,2674
2021-01-01,26.0,21.0,5.0,34,10.0,15.0,6.0,3,8.0,7.0,22.0,7.0,6.0,2.0,5.0,4.0,2.0,8.0,11.0,3.0,896
2021-02-01,28.0,22.0,8.0,26,9.0,10.0,10.0,12,12.0,1.0,12.0,1.0,3.0,11.0,8.0,14.0,7.0,4.0,26.0,3.0,1047
2021-03-01,15.0,13.0,10.0,28,10.0,1.0,1.0,6,6.0,3.0,28.0,2.0,2.0,2.0,1.0,3.0,6.0,2.0,10.0,4.0,1168
2021-04-01,37.0,5.0,4.0,12,4.0,8.0,1.0,7,18.0,5.0,8.0,1.0,5.0,3.0,1.0,14.0,1.0,1.0,6.0,2.0,1275
2021-05-01,18.0,4.0,3.0,15,4.0,13.0,1.0,2,6.0,2.0,10.0,2.0,4.0,3.0,1.0,4.0,2.0,2.0,8.0,2.0,1443
2021-06-01,16.0,7.0,1.0,6,2.0,4.0,1.0,5,1.0,1.0,3.0,1.0,2.0,4.0,1.0,7.0,2.0,2.0,6.0,2.0,1523
2021-07-01,14.0,8.0,4.0,11,4.0,12.0,3.0,8,4.0,2.0,3.0,1.0,1.0,2.0,1.0,6.0,2.0,1.0,12.0,2.0,1647
2021-08-01,4.0,12.0,1.0,11,2.0,3.0,3.0,7,1.0,2.0,6.0,2.0,2.0,7.0,1.0,7.0,5.0,1.0,9.0,1.0,1803
2021-09-01,14.0,13.0,2.0,6,3.0,3.0,1.0,6,4.0,2.0,7.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,7.0,2.0,1914
2021-10-01,8.0,13.0,1.0,7,4.0,4.0,1.0,3,4.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,6.0,2.0,1979
2021-11-01,15.0,2.0,2.0,9,11.0,7.0,1.0,12,8.0,4.0,3.0,1.0,4.0,10.0,1.0,1.0,4.0,3.0,16.0,2.0,2087
2021-12-01,14.0,14.0,5.0,14,8.0,8.0,9.0,12,10.0,2.0,15.0,4.0,3.0,31.0,1.0,27.0,4.0,8.0,31.0,2.0,2046
2022-01-01,6.0,2.0,4.0,2,4.0,9.0,1.0,2,1.0,2.0,3.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,2.0,853
2022-02-01,50.0,6.0,1.0,10,3.0,9.0,3.0,6,1.0,3.0,7.0,2.0,6.0,8.0,7.0,14.0,2.0,5.0,13.0,5.0,1069
2022-03-01,15.0,3.0,4.0,8,3.0,17.0,2.0,3,2.0,2.0,4.0,1.0,2.0,1.0,1.0,9.0,2.0,1.0,9.0,4.0,1308
2022-04-01,16.0,18.0,7.0,12,4.0,6.0,5.0,13,4.0,6.0,6.0,1.0,1.0,2.0,12.0,6.0,2.0,5.0,12.0,2.0,1527
2022-05-01,13.0,13.0,3.0,6,4.0,4.0,4.0,11,1.0,3.0,7.0,1.0,2.0,7.0,3.0,6.0,2.0,2.0,8.0,4.0,1665
2022-06-01,10.0,6.0,3.0,7,4.0,3.0,1.0,3,6.0,8.0,8.0,3.0,2.0,3.0,1.0,2.0,10.0,22.0,9.0,1.0,1828
2022-07-01,16.0,19.0,7.0,9,3.0,5.0,1.0,8,7.0,5.0,8.0,1.0,1.0,5.0,4.0,4.0,3.0,4.0,6.0,2.0,1920
2022-08-01,16.0,4.0,4.0,8,2.0,6.0,2.0,6,7.0,2.0,7.0,1.0,2.0,12.0,5.0,9.0,3.0,4.0,11.0,2.0,1973
2022-09-01,9.0,10.0,8.0,2,4.0,2.0,1.0,6,1.0,2.0,3.0,3.0,2.0,5.0,1.0,4.0,2.0,2.0,8.0,5.0,2045
2022-10-01,51.0,14.0,7.0,21,10.0,2.0,4.0,2,23.0,10.0,12.0,6.0,5.0,5.0,1.0,5.0,2.0,3.0,11.0,3.0,2084
2022-11-01,16.0,6.0,4.0,15,4.0,2.0,1.0,3,3.0,2.0,7.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,8.0,2.0,2180
2022-12-01,35.0,13.0,3.0,18,4.0,11.0,2.0,9,5.0,4.0,11.0,3.0,1.0,2.0,1.0,4.0,2.0,1.0,2.0,4.0,2191
2023-01-01,11.0,14.0,7.0,8,2.0,9.0,1.0,11,4.0,7.0,12.0,1.0,2.0,2.0,2.0,7.0,2.0,5.0,14.0,3.0,604
2023-02-01,6.0,12.0,4.0,14,1.0,4.0,1.0,12,7.0,2.0,5.0,1.0,2.0,5.0,1.0,5.0,3.0,1.0,19.0,2.0,708
2023-03-01,9.0,6.0,4.0,9,4.0,3.0,1.0,4,4.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,6.0,1.0,771
2023-04-01,18.0,24.0,8.0,22,16.0,9.0,4.0,10,4.0,17.0,10.0,2.0,2.0,6.0,9.0,7.0,6.0,5.0,6.0,4.0,859
2023-05-01,31.0,8.0,5.0,21,2.0,9.0,4.0,7,11.0,20.0,11.0,1.0,2.0,1.0,4.0,5.0,2.0,4.0,15.0,9.0,934
2023-06-01,5.0,17.0,10.0,13,9.0,9.0,1.0,9,6.0,6.0,8.0,1.0,2.0,2.0,2.0,10.0,1.0,2.0,10.0,5.0,1007
2023-07-01,12.0,7.0,4.0,16,10.0,14.0,4.0,3,3.0,4.0,17.0,1.0,3.0,1.0,5.0,6.0,7.0,7.0,20.0,4.0,1092
2023-08-01,8.0,17.0,12.0,12,4.0,3.0,3.0,12,2.0,7.0,13.0,2.0,2.0,23.0,3.0,7.0,5.0,11.0,23.0,9.0,1183
2023-09-01,33.0,15.0,11.0,15,10.0,9.0,9.0,7,7.0,1.0,16.0,3.0,1.0,9.0,10.0,13.0,3.0,7.0,21.0,8.0,1808
2023-10-01,13.0,22.0,9.0,37,5.0,4.0,2.0,10,3.0,7.0,20.0,6.0,6.0,7.0,1.0,12.0,2.0,3.0,7.0,11.0,1321
2023-11-01,17.0,27.0,20.0,54,5.0,25.0,10.0,20,11.0,11.0,44.0,24.0,6.0,30.0,1.0,36.0,2.0,9.0,22.0,15.0,1397
2023-12-01,13.0,28.0,16.0,22,4.0,3.0,3.0,13,6.0,4.0,17.0,4.0,4.0,10.0,4.0,2.0,5.0,8.0,20.0,6.0,1469
2024-01-01,21.0,39.0,14.0,51,19.0,19.0,12.0,13,7.0,8.0,37.0,27.0,9.0,16.0,4.0,17.0,15.0,12.0,31.0,7.0,509
2024-02-01,32.0,16.0,8.0,19,8.0,16.0,8.0,11,3.0,24.0,19.0,2.0,13.0,18.0,4.0,5.0,7.0,9.0,24.0,2.0,671
2024-03-01,4.0,10.0,6.0,16,2.0,9.0,6.0,6,5.0,4.0,13.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,6.0,2.0,754
2024-04-01,21.0,13.0,11.0,24,6.0,8.0,2.0,6,8.0,31.0,28.0,3.0,5.0,10.0,1.0,6.0,5.0,1.0,13.0,1.0,864
2024-05-01,10.0,12.0,3.0,17,2.0,9.0,3.0,5,1.0,10.0,11.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,11.0,2.0,954
2024-06-01,20.0,21.0,12.0,26,1.0,11.0,4.0,9,8.0,3.0,14.0,1.0,2.0,3.0,6.0,7.0,3.0,4.0,12.0,1.0,1073
2024-07-01,28.0,24.0,29.0,49,30.0,26.0,7.0,20,3.0,21.0,21.0,9.0,5.0,7.0,12.0,7.0,2.0,3.0,31.0,6.0,1200
2024-08-01,10.0,16.0,20.0,23,10.0,10.0,2.0,6,5.0,4.0,29.0,7.0,5.0,5.0,3.0,7.0,7.0,4.0,19.0,5.0,1246
2024-09-01,20.0,16.0,14.0,32,12.0,2.0,13.0,12,4.0,8.0,21.0,4.0,6.0,23.0,3.0,9.0,13.0,6.0,22.0,3.0,1300
2024-10-01,21.0,13.0,3.0,29,5.0,7.0,1.0,9,3.0,12.0,21.0,4.0,4.0,7.0,4.0,4.0,9.0,7.0,18.0,4.0,1358
2024-11-01,11.0,26.0,15.0,12,4.0,16.0,5.0,13,3.0,4.0,23.0,4.0,1.0,6.0,14.0,2.0,6.0,5.0,25.0,7.0,1415
